G,43.329102,-71.608652,9.644551,421.916024
G,43.329135,-71.608640,9.663604,440.944896
G,43.329142,-71.608638,9.664162,422.900276
G,43.329167,-71.608638,9.666115,431.102376
G,43.329170,-71.608643,9.683178,452.099752
G,43.330940,-71.610735,9.835858,396.981640
G,43.330955,-71.610745,9.835891,365.813660
G,43.331012,-71.610810,9.836039,365.485576
G,43.331013,-71.610813,9.842848,395.341220
G,43.331890,-71.611688,9.918083,394.028884
G,43.331890,-71.611697,9.918609,361.876652
G,43.331970,-71.611775,9.926478,396.981640
G,43.332013,-71.611815,9.927048,362.532820
G,43.332077,-71.611873,9.927889,362.204736
G,43.332137,-71.611930,9.930376,362.204736
G,43.332193,-71.611995,9.941091,362.860904
G,43.332388,-71.612160,9.958609,397.309724
G,43.332427,-71.612235,9.963634,365.813660
G,43.332478,-71.612245,9.970176,395.997388
G,43.332488,-71.612293,9.973649,366.469828
G,43.332550,-71.612325,9.979983,396.653556
G,43.332547,-71.612350,9.981591,367.454080
G,43.332627,-71.612410,9.989542,397.637808
G,43.332665,-71.612473,9.993466,369.750668
G,43.332723,-71.612530,10.000000,370.734920
G,43.332785,-71.612595,10.000000,371.719172
G,43.332845,-71.612655,10.000000,373.031508
G,43.332963,-71.612775,10.000000,375.000012
G,43.333022,-71.612837,10.000002,375.328096
G,43.333315,-71.613117,10.000005,377.296600
G,43.333373,-71.613172,10.000055,378.937020
G,43.334007,-71.613838,10.000112,384.842532
G,43.334068,-71.613895,10.002594,385.498700
G,43.335427,-71.615245,10.005242,395.669304
G,43.335488,-71.615300,10.248621,397.637808
G,43.338245,-71.618135,10.498481,417.979016
G,43.338307,-71.618188,10.502482,398.293976
G,43.338350,-71.618237,10.507713,416.010512
G,43.338375,-71.618255,10.507714,398.622060
G,43.338448,-71.618322,10.507716,398.950144
G,43.338513,-71.618383,10.507720,399.278228
G,43.338640,-71.618502,10.507729,398.622060
G,43.338700,-71.618557,10.507807,399.606312
G,43.339012,-71.618870,10.507909,403.543320
G,43.339073,-71.618927,10.510050,404.527572
G,43.339928,-71.619493,10.512569,414.042008
G,43.340002,-71.619522,10.627637,414.042008
G,43.341975,-71.619380,10.752467,402.887152
G,43.341985,-71.619390,10.753220,426.837284
G,43.342047,-71.619345,10.757489,402.559068
G,43.342085,-71.619333,10.757576,427.165368
G,43.342178,-71.619280,10.757799,428.477704
G,43.342368,-71.619155,10.758268,429.461956
G,43.342465,-71.619088,10.760775,430.118124
G,43.342772,-71.618828,10.764949,427.821536
G,43.342868,-71.618735,10.816830,426.837284
G,43.343672,-71.618052,10.876926,402.887152
G,43.343675,-71.618005,10.878826,429.790040
G,43.343732,-71.617988,10.882055,404.527572
G,43.343735,-71.617948,10.882329,429.461956
G,43.343800,-71.617880,10.883095,428.149620
G,43.343867,-71.617820,10.884447,428.149620
G,43.344000,-71.617700,10.887185,427.165368
G,43.344068,-71.617652,10.910015,427.165368
G,43.344437,-71.617322,10.939638,411.417336
G,43.344452,-71.617280,10.941726,422.900276
G,43.344503,-71.617262,10.944956,412.401588
G,43.344515,-71.617225,10.946236,422.244108
G,43.344582,-71.617158,10.949834,421.587940
G,43.344645,-71.617100,10.956870,420.931772
G,43.344833,-71.616998,10.969920,416.010512
G,43.344847,-71.616923,10.972140,420.603688
G,43.344895,-71.616945,10.974610,416.666680
G,43.344912,-71.616865,10.976843,420.603688
G,43.344978,-71.616807,10.979729,419.947520
G,43.345073,-71.616788,10.986672,419.619436
G,43.345127,-71.616727,10.990200,420.275604
G,43.345178,-71.616623,10.991915,420.275604
G,43.345242,-71.616615,10.994348,422.572192
